,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
186,GSupply,ALL,all_inc_enc,RandomForestRegressor,1,0.9962078078116707,0.9612635490090946,ALL / all_inc_enc
187,GSupply,ALL,all_inc_enc,RandomForestRegressor,2,0.9961447581375634,0.9686483913751176,ALL / all_inc_enc
188,GSupply,ALL,all_inc_enc,RandomForestRegressor,3,0.9957691736626052,0.9299455575616333,ALL / all_inc_enc
189,GSupply,ALL,all_inc_enc,RandomForestRegressor,4,0.9960330565033455,0.9431034300467561,ALL / all_inc_enc
190,GSupply,ALL,all_inc_enc,PySRRegressor,0,0.7921700861389533,-27.82594812357656,ALL / all_inc_enc
191,GSupply,ALL,all_inc_enc,PySRRegressor,1,0.8529549600256517,0.7118637662209266,ALL / all_inc_enc
192,GSupply,ALL,all_inc_enc,PySRRegressor,2,0.8238065666940014,0.7310330724488867,ALL / all_inc_enc
193,GSupply,ALL,all_inc_enc,PySRRegressor,3,0.843592482685876,0.7816173552211364,ALL / all_inc_enc
194,GSupply,ALL,all_inc_enc,PySRRegressor,4,0.8497191858805174,0.7123382776655981,ALL / all_inc_enc
195,GSupply,ALL,all_inc_enc,GPAFSRegressor,0,0.8679558939347304,-21.787302651930446,ALL / all_inc_enc
196,GSupply,ALL,all_inc_enc,GPAFSRegressor,1,0.834976192339842,0.775711080915237,ALL / all_inc_enc
197,GSupply,ALL,all_inc_enc,GPAFSRegressor,2,0.672210518115024,0.6450773597627134,ALL / all_inc_enc
198,GSupply,ALL,all_inc_enc,GPAFSRegressor,3,-0.3267832338659,-0.22407509763755518,ALL / all_inc_enc
199,GSupply,ALL,all_inc_enc,GPAFSRegressor,4,-0.3796629553470172,0.4906155307261726,ALL / all_inc_enc
200,CO2eq,BASE_SSP2,small,ElasticNet,0,0.0,-0.0025026692712522003,BASE_SSP2 / small
201,CO2eq,BASE_SSP2,small,ElasticNet,1,0.0,-0.0002379961725211821,BASE_SSP2 / small
202,CO2eq,BASE_SSP2,small,ElasticNet,2,0.0,-0.0017365671268565475,BASE_SSP2 / small
203,CO2eq,BASE_SSP2,small,ElasticNet,3,0.0,-3.65840280558416e-06,BASE_SSP2 / small
204,CO2eq,BASE_SSP2,small,ElasticNet,4,0.0,-0.00465480755674097,BASE_SSP2 / small
205,CO2eq,BASE_SSP2,small,RandomForestRegressor,0,0.8588446789224011,0.09338999033677364,BASE_SSP2 / small
206,CO2eq,BASE_SSP2,small,RandomForestRegressor,1,0.8594536298093066,0.024074493841583555,BASE_SSP2 / small
207,CO2eq,BASE_SSP2,small,RandomForestRegressor,2,0.8676375311246887,-0.07045204988109899,BASE_SSP2 / small
208,CO2eq,BASE_SSP2,small,RandomForestRegressor,3,0.8675148670471158,-0.06496952108646559,BASE_SSP2 / small
209,CO2eq,BASE_SSP2,small,RandomForestRegressor,4,0.8539354941564581,0.08005177767989624,BASE_SSP2 / small
210,CO2eq,BASE_SSP2,small,PySRRegressor,0,0.07667692879722976,0.15834370430913935,BASE_SSP2 / small
211,CO2eq,BASE_SSP2,small,PySRRegressor,1,0.062211102470879465,0.1885769616615538,BASE_SSP2 / small
212,CO2eq,BASE_SSP2,small,PySRRegressor,2,0.12005594628582916,-0.024565818276989893,BASE_SSP2 / small
213,CO2eq,BASE_SSP2,small,PySRRegressor,3,0.10470271725348457,0.03105463916424822,BASE_SSP2 / small
214,CO2eq,BASE_SSP2,small,PySRRegressor,4,0.08926476182751952,0.0912573878768177,BASE_SSP2 / small
215,CO2eq,BASE_SSP2,small,GPAFSRegressor,0,-88.83710880335246,-112.2227536437716,BASE_SSP2 / small
216,CO2eq,BASE_SSP2,small,GPAFSRegressor,1,0.07871723365486483,0.18752440216996968,BASE_SSP2 / small
217,CO2eq,BASE_SSP2,small,GPAFSRegressor,2,-93.29598047697331,-90.76535903101774,BASE_SSP2 / small
218,CO2eq,BASE_SSP2,small,GPAFSRegressor,3,-91.86472957887973,-96.43893167214402,BASE_SSP2 / small
219,CO2eq,BASE_SSP2,small,GPAFSRegressor,4,0.09856828534480644,0.08814629066007706,BASE_SSP2 / small
220,CO2eq,BASE_SSP2,all,ElasticNet,0,0.0,-0.0025026692712522003,BASE_SSP2 / all
221,CO2eq,BASE_SSP2,all,ElasticNet,1,0.0,-0.0002379961725211821,BASE_SSP2 / all
222,CO2eq,BASE_SSP2,all,ElasticNet,2,0.0,-0.0017365671268565475,BASE_SSP2 / all
223,CO2eq,BASE_SSP2,all,ElasticNet,3,0.0,-3.65840280558416e-06,BASE_SSP2 / all
224,CO2eq,BASE_SSP2,all,ElasticNet,4,0.0,-0.00465480755674097,BASE_SSP2 / all
225,CO2eq,BASE_SSP2,all,RandomForestRegressor,0,0.995903313524779,0.9613265778098926,BASE_SSP2 / all
