,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
131,GSupply,ALL,small_inc_enc,PySRRegressor,1,0.8014788582570683,0.706903699302574,ALL / small_inc_enc
132,GSupply,ALL,small_inc_enc,PySRRegressor,2,0.7777480976286378,0.6937526919329688,ALL / small_inc_enc
133,GSupply,ALL,small_inc_enc,PySRRegressor,3,0.8225751477566522,0.6762212201814837,ALL / small_inc_enc
134,GSupply,ALL,small_inc_enc,PySRRegressor,4,0.7754099803959639,0.8081695917226976,ALL / small_inc_enc
135,GSupply,ALL,all_inc_enc,ElasticNet,0,0.45881691995877416,-3.984826426373978,ALL / all_inc_enc
136,GSupply,ALL,all_inc_enc,ElasticNet,1,0.4815902609741134,0.2969950075021687,ALL / all_inc_enc
137,GSupply,ALL,all_inc_enc,ElasticNet,2,0.48719999674233017,0.33516164430020556,ALL / all_inc_enc
138,GSupply,ALL,all_inc_enc,ElasticNet,3,0.5105384235719338,0.173379352234468,ALL / all_inc_enc
139,GSupply,ALL,all_inc_enc,ElasticNet,4,0.44007909657424515,0.2838453918973757,ALL / all_inc_enc
140,GSupply,ALL,all_inc_enc,RandomForestRegressor,0,0.9944743757053055,0.8242129788143366,ALL / all_inc_enc
141,GSupply,ALL,all_inc_enc,RandomForestRegressor,1,0.9946505786906754,0.9467617482627515,ALL / all_inc_enc
142,GSupply,ALL,all_inc_enc,RandomForestRegressor,2,0.9949753342904504,0.9576922688945421,ALL / all_inc_enc
143,GSupply,ALL,all_inc_enc,RandomForestRegressor,3,0.9937575473803758,0.7838633155955504,ALL / all_inc_enc
144,GSupply,ALL,all_inc_enc,RandomForestRegressor,4,0.9940823796124931,0.9172512532238277,ALL / all_inc_enc
145,GSupply,ALL,all_inc_enc,PySRRegressor,0,0.8367461402990082,-3.8923810203711913,ALL / all_inc_enc
146,GSupply,ALL,all_inc_enc,PySRRegressor,1,0.8754874661411141,0.7768731109713306,ALL / all_inc_enc
147,GSupply,ALL,all_inc_enc,PySRRegressor,2,0.8521906251332314,0.7337738142108784,ALL / all_inc_enc
148,GSupply,ALL,all_inc_enc,PySRRegressor,3,0.6852673685552775,0.16271276578879645,ALL / all_inc_enc
149,GSupply,ALL,all_inc_enc,PySRRegressor,4,0.8423305098557772,0.37306478590023195,ALL / all_inc_enc
150,CO2eq,BASE_SSP2,small,ElasticNet,0,0.0,-0.0066391073734966,BASE_SSP2 / small
151,CO2eq,BASE_SSP2,small,ElasticNet,1,0.0,-0.0006098007708241759,BASE_SSP2 / small
152,CO2eq,BASE_SSP2,small,ElasticNet,2,0.0,-0.0002701826944464525,BASE_SSP2 / small
153,CO2eq,BASE_SSP2,small,ElasticNet,3,0.0,-0.00028480424410792793,BASE_SSP2 / small
154,CO2eq,BASE_SSP2,small,ElasticNet,4,0.0,-0.00025714757970507485,BASE_SSP2 / small
155,CO2eq,BASE_SSP2,small,RandomForestRegressor,0,0.8602117182651099,0.09969162920776742,BASE_SSP2 / small
156,CO2eq,BASE_SSP2,small,RandomForestRegressor,1,0.8662196808168392,0.0336621670743561,BASE_SSP2 / small
157,CO2eq,BASE_SSP2,small,RandomForestRegressor,2,0.8692906040095268,-0.0803136193762568,BASE_SSP2 / small
158,CO2eq,BASE_SSP2,small,RandomForestRegressor,3,0.8640175321583399,-0.07286276146512338,BASE_SSP2 / small
159,CO2eq,BASE_SSP2,small,RandomForestRegressor,4,0.8552662338607283,0.0669873506072034,BASE_SSP2 / small
160,CO2eq,BASE_SSP2,small,PySRRegressor,0,0.04985165754483578,0.16125832249976668,BASE_SSP2 / small
161,CO2eq,BASE_SSP2,small,PySRRegressor,1,-5.865241625713224e-11,-0.0006101689414510503,BASE_SSP2 / small
162,CO2eq,BASE_SSP2,small,PySRRegressor,2,-8.542961893454049e-10,-0.0002711405610196227,BASE_SSP2 / small
163,CO2eq,BASE_SSP2,small,PySRRegressor,3,-5.004596737023803e-11,-0.00028457074277388195,BASE_SSP2 / small
164,CO2eq,BASE_SSP2,small,PySRRegressor,4,-3.108131529927505e-10,-0.0002576924612558429,BASE_SSP2 / small
165,CO2eq,BASE_SSP2,all,ElasticNet,0,0.0,-0.0066391073734966,BASE_SSP2 / all
166,CO2eq,BASE_SSP2,all,ElasticNet,1,0.0,-0.0006098007708241759,BASE_SSP2 / all
167,CO2eq,BASE_SSP2,all,ElasticNet,2,0.0,-0.0002701826944464525,BASE_SSP2 / all
168,CO2eq,BASE_SSP2,all,ElasticNet,3,0.0,-0.00028480424410792793,BASE_SSP2 / all
169,CO2eq,BASE_SSP2,all,ElasticNet,4,0.0,-0.00025714757970507485,BASE_SSP2 / all
170,CO2eq,BASE_SSP2,all,RandomForestRegressor,0,0.9953542133174447,0.9662783528860107,BASE_SSP2 / all
171,CO2eq,BASE_SSP2,all,RandomForestRegressor,1,0.9953006425316356,0.9732753497521472,BASE_SSP2 / all
172,CO2eq,BASE_SSP2,all,RandomForestRegressor,2,0.9952174552569186,0.9716667366172763,BASE_SSP2 / all
173,CO2eq,BASE_SSP2,all,RandomForestRegressor,3,0.9951185680529677,0.9659962531503059,BASE_SSP2 / all
174,CO2eq,BASE_SSP2,all,RandomForestRegressor,4,0.9955414715249012,0.9619302202382369,BASE_SSP2 / all
175,CO2eq,BASE_SSP2,all,PySRRegressor,0,0.979151218560141,0.9717039393986483,BASE_SSP2 / all
176,CO2eq,BASE_SSP2,all,PySRRegressor,1,0.9836609306892581,0.9813613447382765,BASE_SSP2 / all
177,CO2eq,BASE_SSP2,all,PySRRegressor,2,0.9840962205177411,0.9834846064202286,BASE_SSP2 / all
178,CO2eq,BASE_SSP2,all,PySRRegressor,3,0.9774977970149491,0.9771179408828673,BASE_SSP2 / all
179,CO2eq,BASE_SSP2,all,PySRRegressor,4,0.9744528713817637,0.9777032679529561,BASE_SSP2 / all
180,CO2eq,1p5c_OS_SSP2,small,ElasticNet,0,0.5690797441116877,0.5628128149126517,1p5c_OS_SSP2 / small
181,CO2eq,1p5c_OS_SSP2,small,ElasticNet,1,0.5694905393392387,0.5644398488588893,1p5c_OS_SSP2 / small
182,CO2eq,1p5c_OS_SSP2,small,ElasticNet,2,0.5661591369877527,0.530690814004144,1p5c_OS_SSP2 / small
183,CO2eq,1p5c_OS_SSP2,small,ElasticNet,3,0.5428641845594326,0.543764794557777,1p5c_OS_SSP2 / small
184,CO2eq,1p5c_OS_SSP2,small,ElasticNet,4,0.551327560487056,0.5811318638479952,1p5c_OS_SSP2 / small
185,CO2eq,1p5c_OS_SSP2,small,RandomForestRegressor,0,0.9972541345436563,0.9801697235360196,1p5c_OS_SSP2 / small
186,CO2eq,1p5c_OS_SSP2,small,RandomForestRegressor,1,0.9974007040614403,0.9789907934846928,1p5c_OS_SSP2 / small
187,CO2eq,1p5c_OS_SSP2,small,RandomForestRegressor,2,0.9973460390788674,0.9801183062434576,1p5c_OS_SSP2 / small
188,CO2eq,1p5c_OS_SSP2,small,RandomForestRegressor,3,0.9972763612075995,0.9853794255729897,1p5c_OS_SSP2 / small
189,CO2eq,1p5c_OS_SSP2,small,RandomForestRegressor,4,0.997259094108376,0.979218934747063,1p5c_OS_SSP2 / small
190,CO2eq,1p5c_OS_SSP2,small,PySRRegressor,0,0.9596383867180176,0.9482564485557061,1p5c_OS_SSP2 / small
191,CO2eq,1p5c_OS_SSP2,small,PySRRegressor,1,0.9615348230419559,0.9579071257826337,1p5c_OS_SSP2 / small
192,CO2eq,1p5c_OS_SSP2,small,PySRRegressor,2,0.9631022766039496,0.9639736721547327,1p5c_OS_SSP2 / small
193,CO2eq,1p5c_OS_SSP2,small,PySRRegressor,3,0.9628074126927201,0.9661298359332903,1p5c_OS_SSP2 / small
194,CO2eq,1p5c_OS_SSP2,small,PySRRegressor,4,0.9583727901871933,0.9642976182477121,1p5c_OS_SSP2 / small
195,CO2eq,1p5c_OS_SSP2,all,ElasticNet,0,0.5690797441116877,0.5628128149126517,1p5c_OS_SSP2 / all
196,CO2eq,1p5c_OS_SSP2,all,ElasticNet,1,0.5694905393392387,0.5644398488588893,1p5c_OS_SSP2 / all
197,CO2eq,1p5c_OS_SSP2,all,ElasticNet,2,0.5661591369877527,0.530690814004144,1p5c_OS_SSP2 / all
198,CO2eq,1p5c_OS_SSP2,all,ElasticNet,3,0.5428641845594326,0.543764794557777,1p5c_OS_SSP2 / all
199,CO2eq,1p5c_OS_SSP2,all,ElasticNet,4,0.551327560487056,0.5811318638479952,1p5c_OS_SSP2 / all
200,CO2eq,1p5c_OS_SSP2,all,RandomForestRegressor,0,0.999019222682352,0.9901826038295436,1p5c_OS_SSP2 / all
201,CO2eq,1p5c_OS_SSP2,all,RandomForestRegressor,1,0.9989140654738382,0.9932470668609432,1p5c_OS_SSP2 / all
202,CO2eq,1p5c_OS_SSP2,all,RandomForestRegressor,2,0.9988006442090899,0.9940220858769964,1p5c_OS_SSP2 / all
203,CO2eq,1p5c_OS_SSP2,all,RandomForestRegressor,3,0.9988727057884876,0.9921243773297969,1p5c_OS_SSP2 / all
204,CO2eq,1p5c_OS_SSP2,all,RandomForestRegressor,4,0.9989309721240403,0.9937259022156526,1p5c_OS_SSP2 / all
